82;ARD CIN;Ardea cinerea; ;Harmaahaikara;Häger;Grey Heron;11;0
83;ARD PUR;Ardea purpurea; ;Ruskohaikara;Purpurhäger;Purple Heron;11;0
84;CIC NIG;Ciconia nigra; ;Mustahaikara;Svart stork;Black Stork;12;0
85;CIC CIC;Ciconia ciconia; ;Kattohaikara;Vit stork;White Stork;12;0
86;PLE FAL;Plegadis falcinellus; ;Pronssi-iibis;Bronsibis;Glossy Ibis;13;0
87;PLA LEU;Platalea leucorodia; ;Kapustahaikara;Skedstork;Eurasian Spoonbill;13;0
88;PER API;Pernis apivorus; ;Mehiläishaukka;Bivråk;European Honey Buzzard;14;0
89;MIL MIG;Milvus migrans; ;Haarahaukka;Brun glada;Black Kite;14;0
90;MIL MIL;Milvus milvus; ;Isohaarahaukka;Röd glada;Red Kite;14;0
91;HAL HUS;Haliaeetus leucoryphus;B;Aromerikotka;Bandhavsörn;Pallas's Fish Eagle;14;0
92;HAL ALB;Haliaeetus albicilla; ;Merikotka;Havsörn;White-tailed Eagle;14;0
93;NEO PER;Neophron percnopterus; ;Pikkukorppikotka;Smutsgam;Egyptian Vulture;14;0
94;GYP FUL;Gyps fulvus; ;Hanhikorppikotka;Gåsgam;Eurasian Griffon Vulture;14;0
95;CIR GAL;Circaetus gallicus; ;Käärmekotka;Ormörn;Short-toed Eagle;14;0
96;CIR AER;Circus aeruginosus; ;Ruskosuohaukka;Brun kärrhök;Western Marsh Harrier;14;0
97;CIR CYA;Circus cyaneus; ;Sinisuohaukka;Blå kärrhök;Hen Harrier;14;0
98;CIR MAC;Circus macrourus; ;Arosuohaukka;Stäpphök;Pallid Harrier;14;0
99;CIR PYG;Circus pygargus; ;Niittysuohaukka;Ängshök;Montagu's Harrier;14;0
100;ACC GEN;Accipiter gentilis; ;Kanahaukka;Duvhök;Northern Goshawk;14;0
101;ACC NIS;Accipiter nisus; ;Varpushaukka;Sparvhök;Eurasian Sparrowhawk;14;0
102;BUT BUT;Buteo buteo; ;Hiirihaukka;Ormvråk;Common Buzzard;14;0
103;BUT RUF;Buteo rufinus; ;Arohiirihaukka;Örnvråk;Long-legged Buzzard;14;0
104;BUT LAG;Buteo lagopus; ;Piekana;Fjällvråk;Rough-legged Buzzard;14;0
105;AQU POM;Aquila pomarina; ;Pikkukiljukotka;Mindre skrikörn;Lesser Spotted Eagle;14;0
106;AQU CLA;Aquila clanga; ;Kiljukotka;Större skrikörn;Greater Spotted Eagle;14;0
107;AQU NIP;Aquila nipalensis; ;Arokotka;Stäppörn;Steppe Eagle;14;0
108;AQU HEL;Aquila heliaca; ;Keisarikotka;Kejsarörn;Eastern Imperial Eagle;14;0
109;AQU CHR;Aquila chrysaetos; ;Maakotka;Kungsörn;Golden Eagle;14;0
110;HIE PEN;Hieraaetus pennatus; ;Pikkukotka;Dvärgörn;Booted Eagle;14;0
111;PAN HAL;Pandion haliaetus; ;Sääksi;Fiskgjuse;Osprey;15;0
112;FAL NAU;Falco naumanni; ;Pikkutuulihaukka;Rödfalk;Lesser Kestrel;16;0
113;FAL TIN;Falco tinnunculus; ;Tuulihaukka;Tornfalk;Common Kestrel;16;0
114;FAL VES;Falco vespertinus; ;Punajalkahaukka;Aftonfalk;Red-footed Falcon;16;0
115;FAL COL;Falco columbarius; ;Ampuhaukka;Stenfalk;Merlin;16;0
116;FAL SUB;Falco subbuteo; ;Nuolihaukka;Lärkfalk;Eurasian Hobby;16;0
117;FAL ELE;Falco eleonorae; ;Välimerenhaukka;Eleonorafalk;Eleonora's Falcon;16;0
118;FAL CHE;Falco cherrug; ;Aavikkohaukka;Tatarfalk;Saker;16;0
119;FAL RUS;Falco rusticolus; ;Tunturihaukka;Jaktfalk;Gyr Falcon;16;0
120;FAL PER;Falco peregrinus; ;Muuttohaukka;Pilgrimsfalk;Peregrine;16;0
121;RAL AQU;Rallus aquaticus; ;Luhtakana;Vattenrall;Water Rail;17;0
122;POR POR;Porzana porzana; ;Luhtahuitti;Småfläckig sumphöna;Spotted Crake;17;0
123;POR PAR;Porzana parva; ;Pikkuhuitti;Mindre sumphöna;Little Crake;17;0
124;POR PUS;Porzana pusilla; ;Kääpiöhuitti;Dvärgsumphöna;Baillon's Crake;17;0
125;CRE CRE;Crex crex; ;Ruisrääkkä;Kornknarr;Corn Crake;17;0
126;GAL CHL;Gallinula chloropus; ;Liejukana;Rörhöna;Common Moorhen;17;0
127;POR ALL;Porphyrio alleni; ;Kurnuliejukana;Mindre sultanhöna;Allen's Gallinule;17;0
128;FUL ATR;Fulica atra; ;Nokikana;Sothöna;Eurasian Coot;17;0
129;GRU GRU;Grus grus; ;Kurki;Trana;Common Crane;18;0
130;GRU VIR;Grus virgo; ;Neitokurki;Jungfrutrana;Demoiselle Crane;18;0
131;TET RAX;Tetrax tetrax; ;Pikkutrappi;Småtrapp;Little Bustard;19;0
132;CHL MAC;Chlamydotis macqueenii;B;Idänkaulustrappi;Kragtrapp;Macqueen's Bustard;19;0
133;OTI TAR;Otis tarda;B;Isotrappi;Stortrapp;Great Bustard;19;0
134;HAE OST;Haematopus ostralegus; ;Meriharakka;Strandskata;Eurasian Oystercatcher;20;0
135;HIM HIM;Himantopus himantopus; ;Pitkäjalka;Styltlöpare;Black-winged Stilt;21;0
136;REC AVO;Recurvirostra avosetta; ;Avosetti;Skärfläcka;Pied Avocet;21;0
137;BUR OED;Burhinus oedicnemus; ;Paksujalka;Tjockfot;Stone-Curlew;22;0
138;CUR CUR;Cursorius cursor; ;Aavikkojuoksija;Ökenlöpare;Cream-coloured Courser;23;0
139;GLA PRA;Glareola pratincola; ;Pääskykahlaaja;Rödvingad vadarsvala;Collared Pratincole;23;0
140;GLA NOR;Glareola nordmanni; ;Aropääskykahlaaja;Svartvingad vadarsvala;Black-winged Pratincole;23;0
